Title,Link,Authors,Year,Cited,SDGs
research and development rd environmental investments to ecoefficiency and firm value,"https://scholar.google.com/scholar?q=+intitle:'research and development (r&d), environmental investments, to eco-efficiency, and firm value'",va safitri l sari rr gamayuni,2020,1830,"SDG 9: Industri, Inovasi, dan Infrastruktur"
a computational framework to explore largescale biosynthetic diversity,https://scholar.google.com/scholar?q=+intitle:'a computational framework to explore large-scale biosynthetic diversity',jc navarromu oz n selemmojica mw mullowney sa tsar,2020,618,"SDG 3: Kehidupan Sehat dan Sejahtera; SDG 9: Industri, Inovasi, dan Infrastruktur; SDG 12: Konsumsi dan Produksi yang Bertanggung Jawab"
mibig 20 a repository for biosynthetic gene clusters of known function,https://scholar.google.com/scholar?q=+intitle:'mibig 2.0: a repository for biosynthetic gene clusters of known function',sa tsar k blin s shaw jc navarromu oz br terlouw,2020,579,"SDG 3: Kehidupan Sehat dan Sejahtera; SDG 9: Industri, Inovasi, dan Infrastruktur; SDG 12: Konsumsi dan Produksi yang Bertanggung Jawab; SDG 15: Ekosistem Daratan"
hukum selesai sengketa internasional,https://scholar.google.com/scholar?q=+intitle:'hukum penyelesaian sengketa internasional',h adolf,2020,520,"SDG 16: Perdamaian, Keadilan, dan Kelembagaan yang Tangguh"
peran ecolabel awareness green perceived quality purchase intention,https://scholar.google.com/scholar?q=+intitle:'peran ecolabel awareness dan green perceived quality pada purchase intention',d novita n husna,2020,363,SDG 12: Konsumsi dan Produksi yang Bertanggung Jawab
pengaruh pribadi cerdas emosional cerdas spiritual kerja karyawan,"https://scholar.google.com/scholar?q=+intitle:'pengaruh kepribadian, kecerdasan emosional dan kecerdasan spiritual terhadap kinerja karyawan'",n octavia k hayati m karim,2020,298,SDG 8: Pekerjaan Layak dan Pertumbuhan Ekonomi
the influence factors of consumer behavioral intention towards online food delivery services,https://scholar.google.com/scholar?q=+intitle:'the influence factors of consumer behavioral intention towards online food delivery services',d novita n husna,2020,243,"SDG 9: Industri, Inovasi, dan Infrastruktur; SDG 12: Konsumsi dan Produksi yang Bertanggung Jawab"
kuat nilainilai pancasila bangun pribadi masyarakat indonesia,https://scholar.google.com/scholar?q=+intitle:'kekuatan nilai-nilai pancasila dalam membangun kepribadian masyarakat indonesia',mm adha e susanto,2020,221,"SDG 16: Perdamaian, Keadilan, dan Kelembagaan yang Tangguh"
brand equity s mediated in influencing purchase intentions on e commerce,https://scholar.google.com/scholar?q=+intitle:'brand equity s mediated in influencing purchase intentions on e commerce',a febrian ca vinahapsari,2020,206,"SDG 8: Pekerjaan Layak dan Pertumbuhan Ekonomi; SDG 9: Industri, Inovasi, dan Infrastruktur"
analisis pengaruh ekuitas merek puas libat langgan implikasi niat beli ecommerce,https://scholar.google.com/scholar?q=+intitle:'analisis pengaruh ekuitas merek pada kepuasan dan keterlibatan pelanggan yang berimplikasi pada niat pembelian di e-commerce',a febrian l ahluwalia,2020,199,SDG 8: Pekerjaan Layak dan Pertumbuhan Ekonomi; SDG 12: Konsumsi dan Produksi yang Bertanggung Jawab
brand equity is mediated in influencing purchase intentions on e commerce,https://scholar.google.com/scholar?q=+intitle:'brand equity is mediated in influencing purchase intentions on e commerce',a febrian ca vinahapsari,2020,187,SDG 4: Pendidikan Berkualitas
evaluasi implementasi sistem ajar daring fakultas guru ilmu didik universitas lampung,https://scholar.google.com/scholar?q=+intitle:'evaluasi implementasi sistem pembelajaran daring fakultas keguruan dan ilmu pendidikan universitas lampung',ar riyanda k herlina ba wicaksono,2020,186,SDG 4: Pendidikan Berkualitas
kurikulum ajar paud,https://scholar.google.com/scholar?q=+intitle:'kurikulum dan pembelajaran paud',ey haenilah,2020,182,SDG 4: Pendidikan Berkualitas
peran orang tua bentuk karakter anak pandemi covid19 perspektif didik islam,https://scholar.google.com/scholar?q=+intitle:'peran orang tua dalam pembentukan karakter anak di masa pandemi covid-19 perspektif pendidikan islam',sh prabowo a fakhruddin m rohman,2020,168,SDG 3: Kehidupan Sehat dan Sejahtera; SDG 4: Pendidikan Berkualitas
development of emodule using flip pdf professional on temperature and heat material,https://scholar.google.com/scholar?q=+intitle:'development of e-module using flip pdf professional on temperature and heat material',h komikesari m mutoharoh ps dewi gn utami w anggraini,2020,160,SDG 4: Pendidikan Berkualitas
peran aesthetic experential qualities perceived value puas loyalitas unjung wisata bahari provinsi lampung,https://scholar.google.com/scholar?q=+intitle:'peran aesthetic experential qualities dan perceived value untuk kepuasan dan loyalitas pengunjung wisata bahari di provinsi lampung',n husna d novita,2020,147,SDG 14: Ekosistem Laut
pengaruh motivasi stres kerja kerja karyawan cv muslim galeri indonesia,https://scholar.google.com/scholar?q=+intitle:'pengaruh motivasi dan stres kerja terhadap kinerja karyawan cv. muslim galeri indonesia',n shabrina d darmadi r sari,2020,133,SDG 8: Pekerjaan Layak dan Pertumbuhan Ekonomi
islamic financial inclusion determinants in indonesia an anp approach,https://scholar.google.com/scholar?q=+intitle:'islamic financial inclusion determinants in indonesia: an anp approach',mm ali a devi h furqan h hamzah,2020,131,SDG 1: Tanpa Kemiskinan; SDG 8: Pekerjaan Layak dan Pertumbuhan Ekonomi; SDG 10: Berkurangnya Kesenjangan
stunting is not a synonym of malnutrition,https://scholar.google.com/scholar?q=+intitle:'stunting is not a synonym of malnutrition',c scheffler m hermanussen b bogin ds liana f taolin p cempaka,2020,127,SDG 2: Tanpa Kelaparan; SDG 3: Kehidupan Sehat dan Sejahtera
anemia defisiensi zat besi fe,https://scholar.google.com/scholar?q=+intitle:'anemia defisiensi zat besi (fe)',i kurniati,2020,127,SDG 3: Kehidupan Sehat dan Sejahtera
buku ajar retorika,https://scholar.google.com/scholar?q=+intitle:'buku ajar: retorika',d sulistyarini ag zainal,2020,112,SDG 4: Pendidikan Berkualitas
generating soil salinity soil moisture soil ph from satellite imagery and its analysis,"https://scholar.google.com/scholar?q=+intitle:'generating soil salinity, soil moisture, soil ph from satellite imagery and its analysis'",mf ghazali k wikantika ab harto a kondoh,2020,110,SDG 2: Tanpa Kelaparan; SDG 15: Ekosistem Daratan
analisis strategi pasar upaya tingkat daya saing umkm,https://scholar.google.com/scholar?q=+intitle:'analisis strategi pemasaran dalam upaya peningkatan daya saing umkm',s sulistiyani aditya pratama,2020,108,"SDG 8: Pekerjaan Layak dan Pertumbuhan Ekonomi; SDG 9: Industri, Inovasi, dan Infrastruktur"
peran ajar didik kewarganegaraan bangun civic conscience,https://scholar.google.com/scholar?q=+intitle:'peranan pembelajaran pendidikan kewarganegaraan dalam membangun civic conscience',y nurmalisa a mentari r rohman,2020,104,"SDG 4: Pendidikan Berkualitas; SDG 16: Perdamaian, Keadilan, dan Kelembagaan yang Tangguh"
kembang media ajar interaktif bas strategi metakognitif tingkat mampu pikir kritis siswa,https://scholar.google.com/scholar?q=+intitle:'pengembangan media pembelajaran interaktif berbasis strategi metakognitif untuk meningkatkan kemampuan berpikir kritis siswa',a hendi c caswita ey haenilah,2020,99,SDG 4: Pendidikan Berkualitas
emulsifying properties and antioxidant activity of soy protein isolate conjugated with tea polyphenol extracts,https://scholar.google.com/scholar?q=+intitle:'emulsifying properties and antioxidant activity of soy protein isolate conjugated with tea polyphenol extracts',aup djuardi nd yuliana m ogawa t akazawa mt suhartono,2020,96,SDG 2: Tanpa Kelaparan; SDG 3: Kehidupan Sehat dan Sejahtera
model teliti kembang,https://scholar.google.com/scholar?q=+intitle:'model penelitian pengembangan',a maydiantoro,2020,93,"SDG 4: Pendidikan Berkualitas; SDG 9: Industri, Inovasi, dan Infrastruktur"
pengaruh faktor usia hamil jenis salin rsud dr h abdul moeloek provinsi lampung,https://scholar.google.com/scholar?q=+intitle:'pengaruh faktor usia ibu hamil terhadap jenis persalinan di rsud dr. h. abdul moeloek provinsi lampung',dr sukma rdp sari,2020,91,SDG 3: Kehidupan Sehat dan Sejahtera
analisis sesuai lahan padi gogo bas sifat tanah cuaca id3 spasial land suitability analysis for upland rice based on soil and weather characteristics …,https://scholar.google.com/scholar?q=+intitle:'analisis kesesuaian lahan padi gogo berbasis sifat tanah dan cuaca menggunakan id3 spasial (land suitability analysis for upland rice based on soil and weather characteristics …',a nurkholis m muhaqiqin t susanto,2020,91,SDG 2: Tanpa Kelaparan; SDG 15: Ekosistem Daratan
sistem informasi izin tuju sita barang bukti bas web adil negeri tanjung karang kelas,https://scholar.google.com/scholar?q=+intitle:'sistem informasi izin persetujuan penyitaan barang bukti berbasis web pada pengadilan negeri tanjung karang kelas ia',k nisa s samsugi,2020,89,"SDG 16: Perdamaian, Keadilan, dan Kelembagaan yang Tangguh"
implementasi blended learning kuat didik karakter ajar didik kewarganegaraan,https://scholar.google.com/scholar?q=+intitle:'implementasi blended learning untuk penguatan pendidikan karakter pada pembelajaran pendidikan kewarganegaraan',dr perdana mm adha,2020,88,SDG 4: Pendidikan Berkualitas
terap metode inquiry usaha tingkat hasil ajar ipa materi golong hewan kelas iv sd seluma,https://scholar.google.com/scholar?q=+intitle:'penerapan metode inquiry sebagai usaha untuk meningkatkan hasil belajar ipa pada materi penggolongan hewan di kelas iv sd seluma',rgt sumah a walid s pitaloka ps dewi n agustriana,2020,87,SDG 4: Pendidikan Berkualitas
